Topic,Count,Name,Representation,Representative_Docs
28,17,28_family_she_relationship_her,"['family', 'she', 'relationship', 'her', 'to', 'with', 'your', 'you', 'divorce', 'not']","[""YTA. You are both horribly selfish for bringing a child into this marriage. You do not respect or even like this woman. From your telling, seems like she's in the same place with you, but I'm taking the one-sided version with a grain of salt. The part that makes you specifically the asshole is you're electing to blow up a family to make your exit. You know she won't go for it. You know it will lead to incredible tension among the family you will get to walk away from. You are only doing it because you don't want to put on your big boy pants and have the uncomfortable divorce conversation. You want to create a bigger fire in the family situation to make the break up the lesser drama. How incredibly, irredeemably selfish of you. What a bad way to be a parent. "", ""YTA. You are both horribly selfish for bringing a child into this marriage. You do not respect or even like this woman. From your telling, seems like she's in the same place with you, but I'm taking the one-sided version with a grain of salt. The part that makes you specifically the asshole is you're electing to blow up a family to make your exit. You know she won't go for it. You know it will lead to incredible tension among the family you will get to walk away from. You are only doing it because you don't want to put on your big boy pants and have the uncomfortable divorce conversation. You want to create a bigger fire in the family situation to make the break up the lesser drama. How incredibly, irredeemably selfish of you. What a bad way to be a parent. "", ""Nta. He died 2.5 years ago. That's a pretty long grieving period. I understand her maintaining a close bond with them, but for her to not see her own (though you can't assume she has a good relationship with them anyways) and to ignore yours is just plain rude. If she wasn't ready to let him and his family go, she shouldn't have jumped back into dating. I'm not saying shes not allowed to still grieve, but she is not being fair in the relationship due to her own personal hangups. I mean, replace family with children. I know it's slightly different and more dramatic, but if she is spending all this time with her dead husbands children, barely seeing her own children, and ignoring your children it shows its messed up. I'd say she needs to attend some grief counseling and be calmly and respectfully told she is not putting her 100% effort into her current relationship because of her last one. She is of course allowed to spend time with her ex's family because obviously they are close, but you'd want her to start building those bonds with your family too. You just need to remember, she was married to this guy. She was probably close with his family. You can't expect her to drop a big portion of her life because you think it's weird, because you cannot understand the nature of their relationship and the bond of a shared death. Be respectful of that and apologize for your comments. ""]"
29,16,29_he_transporting_regards_clocked,"['he', 'transporting', 'regards', 'clocked', 'me', 'horrible', 'myself', 'in', 'first', 'unacceptable']","['NTA. Regards of your past, as a medical professional myself, this is unacceptable. If he were alone the whatever but transporting anyone while clocked in to any job really this sounds horrible ', 'NTA. Regards of your past, as a medical professional myself, this is unacceptable. If he were alone the whatever but transporting anyone while clocked in to any job really this sounds horrible ', 'NTA. Regards of your past, as a medical professional myself, this is unacceptable. If he were alone the whatever but transporting anyone while clocked in to any job really this sounds horrible ']"
30,15,30_depression_x200b_he_him,"['depression', 'x200b', 'he', 'him', 'my', 'me', 'his', 'im', 'and', 'for']","['NTA. Maybe NAH but I’ll get to that later. It sounds like you didn’t mean anything bad by what you said. You sound like you were just trying your best to be a loving and supportive spouse. He shouldn’t have reacted the way he did. It was excessive and rude. However, depression can make people say some things they don’t mean. That’s not an excuse to be a jerk or to treat people poorly, but it is an effect of depression. If he recognizes that he sometimes acts out because of his depression and is actively working to fix it, NAH. But if he doesn’t recognize that his reaction was not good and isn’t working on it, there’s a problem. Maybe try going to therapy with him sometime so that you can discuss these issues and why certain things upset him. Then you can both understand the issue better and address it together. ', 'NTA Im actually in a compassion in Healthcare lecture as i write this. Maybe you can learn from this. People hate and even get angry when given sympathy. They dont want your sympathy, they want empathy and compassion. &#x200B; I feel like you really care so maybe do something nice for him to cheer him up? Buy or do something for him that he loves. &#x200B; ""Aw im sorry you feel that way"" does nothing for people who are feeling down. &#x200B; When my dog died to imha. I lost my shit. I was so upset for up to 9 months. She died in my arms gasping for breath. It really messed me up. When I told my co workers, friends, family friends EVEN my gf. They all replied with ""Im sorry to hear that"". Not even my gf could make me feel better, her comment ""Im sorry babe"" did absolutely nothing for me. I know she meant for the best but it was worthless to me. &#x200B; Now, I went on a page called ImHA for dogs. Where all people with dogs that have the same condition gathered and helped each other and empathised with each other. When I posted about my dogs death, I was consoled by hundred and hundreds of strangers who had never met me in real life. THEY knew what i was going through and for some reason their comments made me feel so much better. ""Your dog (ghostie) is playing on the side with my dog Cassie who just passed 3 days ago too"" &#x200B; It was really odd that these strangers could give me so much more comfort than my best friends and my gf just because they knew what I had been through without being required to explain myself. Sometimes we just dont wanna talk about it &#x200B; &#x200B;', 'NTA Im actually in a compassion in Healthcare lecture as i write this. Maybe you can learn from this. People hate and even get angry when given sympathy. They dont want your sympathy, they want empathy and compassion. &#x200B; I feel like you really care so maybe do something nice for him to cheer him up? Buy or do something for him that he loves. &#x200B; ""Aw im sorry you feel that way"" does nothing for people who are feeling down. &#x200B; When my dog died to imha. I lost my shit. I was so upset for up to 9 months. She died in my arms gasping for breath. It really messed me up. When I told my co workers, friends, family friends EVEN my gf. They all replied with ""Im sorry to hear that"". Not even my gf could make me feel better, her comment ""Im sorry babe"" did absolutely nothing for me. I know she meant for the best but it was worthless to me. &#x200B; Now, I went on a page called ImHA for dogs. Where all people with dogs that have the same condition gathered and helped each other and empathised with each other. When I posted about my dogs death, I was consoled by hundred and hundreds of strangers who had never met me in real life. THEY knew what i was going through and for some reason their comments made me feel so much better. ""Your dog (ghostie) is playing on the side with my dog Cassie who just passed 3 days ago too"" &#x200B; It was really odd that these strangers could give me so much more comfort than my best friends and my gf just because they knew what I had been through without being required to explain myself. Sometimes we just dont wanna talk about it &#x200B; &#x200B;']"
31,14,31_usage_common_american_entered,"['usage', 'common', 'american', 'entered', 'argentine', 'ago', 'united', 'btw', 'states', 'long']","['NTA - American entered the common usage a long time ago. ', 'NTA - American entered the common usage a long time ago. ', 'NTA - American entered the common usage a long time ago. ']"
32,13,32_line_services_in_faster,"['line', 'services', 'in', 'faster', 'the', 'just', 'pay', 'extra', 'doing', 'mentality']","['YTA. When you’re in a line, you don’t have the right to be checked out first in general, you just have the right to go in your spot in that line. What you’re doing is essentially the same as getting mad at someone who came to the checkout area after you but picked a faster line so they got rung up ahead of you. Just because you’re in one line, doesn’t mean you automatically have the right to go first in the next line. That one is a free for all when it opens up, and it’s not rude for people in the back of the line to move over. If you wanted to get in the other line, you should be the faster one to get in. The line rushers (as long as they aren’t pushing people over to get in line) are not doing anything rude, and most cashiers will actually call the person in the back of the other line over to the new open one. ', 'YTA. When you’re in a line, you don’t have the right to be checked out first in general, you just have the right to go in your spot in that line. What you’re doing is essentially the same as getting mad at someone who came to the checkout area after you but picked a faster line so they got rung up ahead of you. Just because you’re in one line, doesn’t mean you automatically have the right to go first in the next line. That one is a free for all when it opens up, and it’s not rude for people in the back of the line to move over. If you wanted to get in the other line, you should be the faster one to get in. The line rushers (as long as they aren’t pushing people over to get in line) are not doing anything rude, and most cashiers will actually call the person in the back of the other line over to the new open one. ', 'YTA. When you’re in a line, you don’t have the right to be checked out first in general, you just have the right to go in your spot in that line. What you’re doing is essentially the same as getting mad at someone who came to the checkout area after you but picked a faster line so they got rung up ahead of you. Just because you’re in one line, doesn’t mean you automatically have the right to go first in the next line. That one is a free for all when it opens up, and it’s not rude for people in the back of the line to move over. If you wanted to get in the other line, you should be the faster one to get in. The line rushers (as long as they aren’t pushing people over to get in line) are not doing anything rude, and most cashiers will actually call the person in the back of the other line over to the new open one. ']"
33,13,33_decision_adopting_before_big,"['decision', 'adopting', 'before', 'big', 'deadline', 'math', 'month', 'moving', 'minds', 'planning']","[""YTA. Moving is a big decision and most people do math and planning *before* making a big decision. So that they don't change their minds a month before the deadline. "", ""YTA. Moving is a big decision and most people do math and planning *before* making a big decision. So that they don't change their minds a month before the deadline. "", ""YTA. Moving is a big decision and most people do math and planning *before* making a big decision. So that they don't change their minds a month before the deadline. ""]"
34,13,34_earbud_driver_bus_was,"['earbud', 'driver', 'bus', 'was', 'shades', 'headphones', 'ear', 'bud', 'retarded', 'car']","['When I read the title I was expecting something like 50 shades but Jesus Christ wtf was that guy thinking listening to that without headphones on and with other people in the car? NTA besides the fact that’s wildly unprofessional it’s really fucked up', 'When I read the title I was expecting something like 50 shades but Jesus Christ wtf was that guy thinking listening to that without headphones on and with other people in the car? NTA besides the fact that’s wildly unprofessional it’s really fucked up', 'When I read the title I was expecting something like 50 shades but Jesus Christ wtf was that guy thinking listening to that without headphones on and with other people in the car? NTA besides the fact that’s wildly unprofessional it’s really fucked up']"
35,13,35_phone_evidence_through_proved,"['phone', 'evidence', 'through', 'proved', 'someone', 'would', 'situation', 'illegally', 'obtained', 'wrongdoing']","['NTA. Nothing wrong with going through someone\'s phone. All is fair in love and war. AND....in this situation, the information you got proved to be helpful. Had you taken the common viewpoint of ""it\'s wrong to look through someone\'s phone"" or ""you should trust your GF/BF"" then you would have never known, and you would have wasted even more time with her. ', 'NTA. Nothing wrong with going through someone\'s phone. All is fair in love and war. AND....in this situation, the information you got proved to be helpful. Had you taken the common viewpoint of ""it\'s wrong to look through someone\'s phone"" or ""you should trust your GF/BF"" then you would have never known, and you would have wasted even more time with her. ', 'NTA. Nothing wrong with going through someone\'s phone. All is fair in love and war. AND....in this situation, the information you got proved to be helpful. Had you taken the common viewpoint of ""it\'s wrong to look through someone\'s phone"" or ""you should trust your GF/BF"" then you would have never known, and you would have wasted even more time with her. ']"
36,13,36_he_was_yta_his,"['he', 'was', 'yta', 'his', 'wasn', 'pic', 'it', 'why', 'handling', 'you']","[""YTA. He was clearly already handling the situation. He wasn't hiding your existence or using her to inflate his own ego. He probably didn't tell you because he knew you would push the boundary. "", 'YTA Yeah...I’m not buying the: “Oh I was just on his phone for a joke” line... we all know why you were. Hence the anonymity or you’d just be posting this completely honesty on your normal account. Sounds like he was dealing with it perfectly well on his own, it’s normal for you to be taken aback by it, BUT you have no right to decide who he does and doesn’t speak to, OR to speak for him. That kind of controlling behaviour is the death of good relationships. ', 'YTA First of all, you shouldn’t be snooping in the first place. Even if “he does it too” and it was just a “little game”, you violated his privacy. This girl was at the bottom of his text list as you say, so clearly you were looking through all his messages. Obviously it might be a little alarming to find out someone is flirting with your SO, but he seems to have made it clear to her that he’s not interested AND that he’s taken, so I don’t think she was any threat to you and you really didn’t need to step in. Unless there were some other serious red flags to suggest to you he was being unfaithful, YTA.']"
37,13,37_shelf_bill_him_send,"['shelf', 'bill', 'him', 'send', 'nta', 'now', 'supportive', 'taking', 'feelings', 'out']","['NTA. Now send him a bill for the shelf.', 'NTA. Now send him a bill for the shelf.', 'NTA. Now send him a bill for the shelf.']"
38,12,38_christmas_her_ideas_you,"['christmas', 'her', 'ideas', 'you', 'mother', 'she', 'whether', 'it', 'about', 'not']","['YTA. Perfectly fine to not be into Christmas. However you obviously know your mother is, and that it means a lot to her. To insinuate her motives, saying it’s only for her, is extremely rude. I mean you have to know that it’s a heartbreaking thing for a mother to hear her child doesn’t care about Christmas anymore, but you stated it bluntly and then followed it up by saying she is tossing her childhood baggage on you. So now, not only does she think you don’t want to participate in Christmas but she feels like a burden on the rest of her family which is the exact opposite of what she wanted. Your still young, and seem pretty bright and have well drawn out conclusions you’ve thought about. But if you love your mother, sometimes it’s about enduring it for their sake. Not making them feel bad when really to you it isn’t hurting you in any way other than being slightly annoying. When your 28 and on your own you’ll regret the times you didn’t avoid hurting her when you could’ve just played along, especially if she is a good mom otherwise. If you are me anyway, you may be different but that’s my experience,', 'YTA. Perfectly fine to not be into Christmas. However you obviously know your mother is, and that it means a lot to her. To insinuate her motives, saying it’s only for her, is extremely rude. I mean you have to know that it’s a heartbreaking thing for a mother to hear her child doesn’t care about Christmas anymore, but you stated it bluntly and then followed it up by saying she is tossing her childhood baggage on you. So now, not only does she think you don’t want to participate in Christmas but she feels like a burden on the rest of her family which is the exact opposite of what she wanted. Your still young, and seem pretty bright and have well drawn out conclusions you’ve thought about. But if you love your mother, sometimes it’s about enduring it for their sake. Not making them feel bad when really to you it isn’t hurting you in any way other than being slightly annoying. When your 28 and on your own you’ll regret the times you didn’t avoid hurting her when you could’ve just played along, especially if she is a good mom otherwise. If you are me anyway, you may be different but that’s my experience,', 'YTA. Perfectly fine to not be into Christmas. However you obviously know your mother is, and that it means a lot to her. To insinuate her motives, saying it’s only for her, is extremely rude. I mean you have to know that it’s a heartbreaking thing for a mother to hear her child doesn’t care about Christmas anymore, but you stated it bluntly and then followed it up by saying she is tossing her childhood baggage on you. So now, not only does she think you don’t want to participate in Christmas but she feels like a burden on the rest of her family which is the exact opposite of what she wanted. Your still young, and seem pretty bright and have well drawn out conclusions you’ve thought about. But if you love your mother, sometimes it’s about enduring it for their sake. Not making them feel bad when really to you it isn’t hurting you in any way other than being slightly annoying. When your 28 and on your own you’ll regret the times you didn’t avoid hurting her when you could’ve just played along, especially if she is a good mom otherwise. If you are me anyway, you may be different but that’s my experience,']"
39,12,39_fat_wife_friends_your,"['fat', 'wife', 'friends', 'your', 'her', 'bodies', 'gym', 'isn', 'she', 'agreed']","[""YTA X50. ssdfdsfsaasd really? you think thats fat? You understand women have fat on their bodies without being obese, right? And even if I agreed with you and said she was fat, which she isn't, thats a damned mean thing to say. Let's get a picture of you, pick apart your appearance and see if youre happy with us for being 'realistic'."", 'YTA. Holy shit. Firstly, for her weight and height, your wife is not fat. Her BMI would be on the heavier end of healthy. Plus, she’s going to the gym I’m assuming for self-improvement? I can’t help but wonder if she’s as comfortable with her weight as you think, and if maybe the fact that her husband goes around calling her fat has anything to do with it. Your friends shouldn’t be talking about her body, period, but especially not in a disparaging way. They were making fun of you for being with her. I’d be really hurt if I were her, and really uncomfortable around these friends. In her own home too? ', ""YTA. Being fat isn't an issue. It's a fairly innocuous adjective that unfortunately has negative connotations due to societal standards. Some fat people don't mind being called fat; others do. It's a personal preference thing. The issue isn't that your wife isn't fat but you called her fat, or that she is and you offended her. The problem here is that your buddies framed the notion of fatness as an insult, i.e. chubby chaser, and you agreed with them. The problem here is that you prioritized your reputation with your friends over defending your wife, someone you presumably plan on spending your life with. ""]"
40,12,40_tight_assholes_note_parent,"['tight', 'assholes', 'note', 'parent', 'ends', 'yells', 'argument', 'described', 'stuck', 'hold']","[""YTA, for reasons you clearly stated >So am I an asshole for being a stuck up teenage girls who yells at her dad for trying to make ends meet? side note: literally none of the people you've described are worth talking to, much less an argument with a parent."", ""YTA, for reasons you clearly stated >So am I an asshole for being a stuck up teenage girls who yells at her dad for trying to make ends meet? side note: literally none of the people you've described are worth talking to, much less an argument with a parent."", ""YTA, for reasons you clearly stated >So am I an asshole for being a stuck up teenage girls who yells at her dad for trying to make ends meet? side note: literally none of the people you've described are worth talking to, much less an argument with a parent.""]"
41,12,41_room_dave_live_new,"['room', 'dave', 'live', 'new', 'place', 'claire', 'conference', 'stay', 'abby', 'cohort']","['YTA. Live Dave said, you waited until pretty last minute to change things after he already bought a place. You didn’t give him too much of a heads up in finding a new place/new roommate either. It probably would’ve been cheaper for Dave to live in a split house, and he probably still wants to live with you, but now it’s too late. You should’ve considered your options earlier instead of 2 weeks before Dave moves into his new house. ', 'YTA. Live Dave said, you waited until pretty last minute to change things after he already bought a place. You didn’t give him too much of a heads up in finding a new place/new roommate either. It probably would’ve been cheaper for Dave to live in a split house, and he probably still wants to live with you, but now it’s too late. You should’ve considered your options earlier instead of 2 weeks before Dave moves into his new house. ', 'YTA. Live Dave said, you waited until pretty last minute to change things after he already bought a place. You didn’t give him too much of a heads up in finding a new place/new roommate either. It probably would’ve been cheaper for Dave to live in a split house, and he probably still wants to live with you, but now it’s too late. You should’ve considered your options earlier instead of 2 weeks before Dave moves into his new house. ']"
