index,scheme_with_verdict,scheme_without_verdict,changed,rationale_with,rationale_without
36,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text appears to be using an ad hominem attack by focusing on the person's behavior (ignoring the family) rather than addressing the argument or issue at hand. The speaker is not engaging with the opposing viewpoint or providing evidence to support their claim, but instead is making a personal attack by implying that the person's behavior is unacceptable. The phrase ""YTA"" (You're The Asshole) is also a common way to express an ad hominem attack, as it is a pejorative label that is not based on logical reasoning or evidence.","Scheme: Ad Hominem

Rationale: The text appears to be using an ad hominem attack by focusing on the person's behavior (ignoring the family) rather than addressing the argument or issue at hand. The speaker is trying to discredit the person's position by pointing out their perceived flaws, rather than engaging with the substance of the argument. The phrase ""don't tell her how to interact with her dead husbands family"" suggests that the speaker is trying to shift the focus away from the issue and onto the person's character, which is a characteristic of an ad hominem attack."
37,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is attacking the credibility of the person making the claim (the stepmother) by questioning their character, emotions, and motivations. The author is using personal attacks to undermine the stepmother's argument, rather than addressing the substance of the claim. The text mentions the stepmother's ""rage and meanspiritedness"", her supposed lack of reliability, and her alleged attempt to undermine her stepmother to her children. This is a classic example of an Ad Hominem attack, where the author is trying to discredit the person making the claim rather than addressing the claim itself.","Scheme: Ad Hominem

Rationale: The text uses personal attacks and insults to discredit the speaker's credibility and reliability, rather than addressing the substance of their argument. The author calls the speaker ""rageful"" and ""meanspirited"", and implies that they are not a reliable reporter. This is an example of an Ad Hominem attack, where the focus is shifted from the argument to the person making it, in an attempt to undermine their credibility and discredit their argument."
38,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by questioning the motivations of the person making the suggestion, rather than addressing the suggestion itself. The phrase ""You just want to embarrass people"" is an attempt to discredit the person's character, rather than engaging with the substance of the argument. This is a classic example of an ad hominem fallacy, where the focus is shifted from the argument to the person making it, in an attempt to undermine their credibility.","Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by questioning the motivations of the person making the suggestion, rather than addressing the suggestion itself. The speaker is implying that the person's intention is to embarrass others, rather than focusing on the merits of the suggestion. This is a classic example of an ad hominem fallacy, where the speaker is attacking the person making the argument rather than the argument itself."
39,Appeal to Consequences,Appeal to Consequences,False,"Scheme: Appeal to Consequences

Rationale: The text is appealing to the consequences of not helping one's mom decorate, specifically the potential strain on their already strained relationship. The speaker is suggesting that not helping would have negative consequences, while helping would have positive consequences. This is a classic example of an Appeal to Consequences, where the speaker is trying to persuade by highlighting the potential outcomes of a particular action or decision.","Scheme: Appeal to Consequences

Rationale: The text is appealing to the consequences of not helping the mom decorate, specifically the potential strain on their relationship. The speaker is suggesting that if the person helps their mom decorate, it will have positive consequences (e.g., improving their relationship), whereas not helping will have negative consequences (e.g., further straining their relationship). This is a classic example of an Appeal to Consequences, where the speaker is trying to persuade by highlighting the potential outcomes of a particular action or decision."
40,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem
Rationale: The text uses an ad hominem attack by questioning the motivations of the person making the request (NTA Sister). The speaker implies that if NTA Sister truly wants the respondent to raise her kids, she would make it easier for them to do so. This is an attempt to discredit NTA Sister's request by attacking her character rather than addressing the argument itself.","Scheme: Ad Hominem

Rationale: The text uses an ad hominem attack by questioning the motivations and character of the person who is being asked to raise the kids. The speaker implies that if the sister doesn't respect the person's views on raising the kids, it's because she doesn't think they would do a good job, and if she does respect their views, it's because she wants to get what she wants. This type of argumentation scheme is used to discredit the opponent's argument by attacking their character or motivations, rather than addressing the argument itself."
41,The Appeal to Humility,The Appeal to Humility,False,"Scheme: The Appeal to Humility

Rationale: The text snippet is an appeal to humility, as the speaker is acknowledging that they may be the only one who shares their opinion (NTA stands for ""Not The Alt"" or ""Not The Average"", implying that they are going against the majority). By expressing uncertainty and humility, the speaker is attempting to deflect potential criticism and make their argument more palatable by showing that they are open to alternative perspectives. The use of phrases like ""fuck if I know"" and ""maybe you needed to"" also convey a sense of humility and willingness to consider other viewpoints, which is a key characteristic of this argumentation scheme.","Scheme: The Appeal to Humility

Rationale: The speaker is attempting to deflect criticism by claiming that they are likely to be the only one who holds a particular opinion, and that they are not trying to be confrontational or arrogant. The use of the phrase ""lol"" and the colloquial language (""fuck if i know"") also suggests a tone of humility and uncertainty. The speaker is acknowledging that they may be wrong and that they are not trying to impose their opinion on others. This is a classic example of the Appeal to Humility, where the speaker is trying to establish a sense of modesty and openness to alternative perspectives in order to avoid being seen as overly confident or dogmatic."
42,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text uses personal attacks and insinuations to discredit the person being addressed, rather than addressing the argument or issue at hand. The speaker questions the person's understanding of social etiquette, implies that someone has told them they're socially inadequate, and suggests that they've been around ""idiots"" who don't understand socialization. These personal attacks are meant to undermine the person's credibility and authority, rather than engaging with their argument or concerns. This is a classic example of the Ad Hominem fallacy, where the speaker attacks the person rather than the argument.","Scheme: Ad Hominem

Rationale: The text uses personal attacks and insinuations to discredit the person being addressed, rather than addressing the argument or issue at hand. The author questions the person's understanding of social etiquette, implies that they may have been influenced by negative opinions about themselves, and suggests that they may be socially inadequate. These personal attacks are meant to undermine the person's credibility and distract from the issue of their girlfriend's reaction. The author's goal is to shift the focus away from the argument and onto the person's perceived flaws, which is a classic characteristic of the Ad Hominem scheme."
43,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is classifying the person who is being described as ""pushy"" and ""aggressive"" as someone who ""wouldn't be so aggressive if he cared about getting yelled at"". This is an attempt to discredit the person's argument or behavior by attacking their character, rather than addressing the substance of the issue. The speaker is implying that the person's aggressive behavior is a result of their own character flaws, rather than a legitimate response to the situation. This is a classic example of an Ad Hominem attack, which is a fallacious argumentation scheme that aims to discredit an argument by attacking the person making it, rather than addressing the argument itself.","Scheme: Ad Hominem

Rationale: The text is using the person attacked fallacy, which is a type of ad hominem argument. The speaker is attacking the character of the person being discussed, implying that their aggressive behavior is a result of their lack of concern for being yelled at. This is an attempt to discredit the person's argument or behavior, rather than addressing the substance of the issue. The speaker is focusing on the person's character, rather than the facts of the situation, in order to undermine their credibility."
44,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by labeling the person as acting like a 5-year-old and implying that they are not worthy of respect. The speaker is diverting attention from the issue at hand to the person's character, attempting to discredit them and undermine their argument.","Scheme: Ad Hominem

Rationale: The text snippet is an example of an Ad Hominem attack, where the speaker is attacking the opponent's character rather than addressing the argument or issue at hand. The speaker is implying that the opponent is acting childish and therefore deserves to be treated like a child, rather than engaging with the opponent's argument or providing a counterargument. This is a classic example of an Ad Hominem fallacy, where the speaker is trying to discredit the opponent's argument by attacking their character rather than addressing the substance of the argument."
45,The Appeal to Impartiality,"The ""Appeal to Impartiality""",True,"Scheme: The Appeal to Impartiality

Rationale: The text is an appeal to impartiality because the author is acknowledging that they are torn between two perspectives (NTA or asshole-but-justifiable) and is encouraging the reader to consider multiple viewpoints. The author is also suggesting that the reader should take a step back and evaluate the situation from different angles, rather than taking a biased stance. Additionally, the author is advocating for a balanced approach to the situation, encouraging the reader to apologize for some actions while standing firm on others. This appeal to impartiality is a common argumentation scheme used to encourage critical thinking and to promote a more nuanced understanding of a complex issue.","Scheme: The ""Appeal to Impartiality""

Rationale: The text presents a nuanced and balanced perspective on the situation, acknowledging the complexity of the issue and the potential for different interpretations. The author is torn between two possible verdicts and acknowledges the possibility that the teacher's actions may have been justified. The author also suggests that the teacher should apologize for her actions, implying that she may have been in the wrong. This approach appeals to impartiality by presenting multiple perspectives and encouraging the reader to consider the situation from different angles, rather than taking a one-sided or dogmatic stance."
46,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by labeling the person's request as ""juvenile"" and making a humorous comparison to Oedipus, a figure known for his incestuous desires. This is an attempt to discredit the person's argument by attacking their character or personal qualities, rather than addressing the substance of their request. The tone is also informal and playful, which does not diminish the fact that the argument is being made by attacking the person rather than their argument.","Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by labeling the person as ""juvenile"" and making a humorous comparison to Oedipus, a figure known for his incestuous relationship with his mother. This is an attempt to discredit the person's argument or request by focusing on their character or personal traits, rather than addressing the substance of the issue. The use of humor and sarcasm (""Lol!"") does not change the fact that the argument is based on an ad hominem attack."
47,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text snippet is an example of an Ad Hominem attack, where the speaker is attacking the character or personal qualities of the person being addressed (in this case, ""her"") rather than addressing the argument or issue at hand. The speaker is implying that the person's behavior is ""rude"" and that they should have taken a certain action (""lit her up""), without providing any logical or evidence-based reasoning to support their claim. This is a classic example of an Ad Hominem fallacy, where the speaker is trying to discredit the person rather than engaging with the argument.","Scheme: Ad Hominem

Rationale: The text snippet appears to be an Ad Hominem attack, where the speaker is attacking the opponent's character rather than addressing the argument or issue at hand. The phrase ""How rude of her"" is a clear example of this, as it is a personal attack rather than a logical or evidence-based response to the opponent's claim. The speaker is attempting to discredit the opponent's argument by implying that they are rude or impolite, rather than engaging with the substance of the argument."
48,"Text: ""NTA""","Text: ""VERDICT REMOVED""",True,"Text: ""NTA""

Scheme: Ad Hominem

Rationale: The text ""NTA"" is likely being used as a shorthand for ""Not The Argument"", implying that the opponent's argument is being dismissed or ignored because of some perceived flaw or weakness in the opponent themselves, rather than addressing the argument's merits. This is a classic example of the Ad Hominem fallacy, where an argument is rejected because of some personal characteristic or attack on the opponent's character, rather than engaging with the substance of the argument.","Text: ""[VERDICT REMOVED]""

Scheme: Ad Hominem

Rationale: The text appears to be an attack on the credibility of the opposing party, rather than addressing the argument itself. The phrase ""[VERDICT REMOVED]"" suggests that the speaker is trying to discredit the opposing party by implying that they have been found guilty or have a questionable reputation. This is a classic example of an Ad Hominem attack, which involves attacking the character or reputation of the opposing party rather than addressing the argument itself."
49,Appeal to Good Karma,Appeal to Emotion,True,"Scheme: Appeal to Good Karma

Rationale: The text appeals to the idea that doing good deeds, such as helping out a kid in need, will bring good karma and a sense of fulfillment. The author suggests that if it doesn't hurt the person to be selfless, they should do so, regardless of whether it benefits someone else. This is an example of an Appeal to Good Karma, which is a scheme that appeals to the idea that good actions will have positive consequences, often in the form of moral or spiritual rewards.","Scheme: Appeal to Emotion

Rationale: The text appeals to the reader's emotions by using emotive language and making a moral appeal. The author emphasizes the importance of being selfless and helping those in need, and frames the situation as a moral imperative. The use of phrases such as ""reap the good karma and feel good about it"" and ""the parents are the assholes, not Chris"" is designed to elicit an emotional response from the reader, rather than a rational one. The author is attempting to persuade the reader by appealing to their sense of empathy and moral obligation, rather than presenting a logical argument."
